"","x","y","aet","Ec.Het","Humanpopdens","Human_footprint","Prec.seas.","rad","shannon_diversity","trange","Temperature","precipitation","Host_richness"
"1",-0.375,53.875,449.175792163459,0.0385506249509233,602.45166015625,28.6558341194898,12.7714134454728,46.75,0.493031101380636,19.3583158254623,9.49776405096055,628.562500000001,51
"2",-0.625,51.875,532.920530322956,0.0411793767146778,377.153900146484,35.0472243299981,12.7374365925789,48,1.5611739324526,20.6766722202301,9.76854968070983,683.687500000001,50
"3",-0.625,53.875,441.823874150813,0.0345853456980643,53.171947479248,25.8105871601424,12.0997081995011,46.75,0.424356420481334,19.3812357187271,9.04681783914566,641.000000000001,52
"4",-0.875,53.875,463.762991438591,0.0356313228737999,83.8546142578125,25.3382285053264,11.6085497736931,46.75,0.684052307005782,19.8489135503769,9.18894612789153,591.687500000002,51
"5",-1.375,42.125,629.035317353074,0.0644911277339575,14.9826803207397,12.5393600181548,23.4777193069457,66.0625,1.19533128432048,27.7210782766342,13.8151087760925,457.375,93
"6",-1.375,50.625,559.73450715795,0.0629237134486041,179.252487182617,25.4623810266083,29.6903337240219,47.8125,1.35129609931292,18.4202018976212,10.356357395649,824.062500000002,46
"7",-1.625,47.375,702.682806898401,0.0451503141194174,303.855102539062,22.7525614147106,24.4420078992843,53.9375,1.52237676270634,21.5890001058579,11.7302612066269,785.5,71
"8",-1.875,39.875,761.879482799203,0.0246366729061887,3.22738790512085,6.30711262294756,31.1698304414749,71.9375,1.23381014879474,32.0975618362427,11.9218769073487,479.999999999997,77
"9",-100.875,23.375,554.4953799629,0.0301724263164918,6.70880317687988,3.96680080656361,63.4152667522432,107.75,0.857641355838518,25.5892026424408,16.6975982189179,403.187500000002,151
"10",-100.875,23.625,714.809100431907,0.0393459814624298,9.00263214111328,4.2372406953886,61.6203815937043,107.25,0.903322912713042,25.6207497119903,15.8997679948807,368.687500000002,153
"11",-103.125,40.625,501.921124484107,0.0370260821521111,26.9174404144287,10.0346853514809,73.9959721565247,78,0.596871198924931,42.831015586853,9.65390610694885,414.625000000001,159
"12",-104.125,21.875,987.101002748236,0.0247330758935379,4.33729934692383,3.05054209737208,114.93838262558,111.9375,0.552929161077429,27.2977038621903,21.4450316429138,815.874999999996,203
"13",-104.375,35.875,483.793830053013,0.0155400222431793,0.0481112711131573,2.62679936396598,69.7834997177124,83.5,0.0341454414229383,38.1633448600769,11.2087860107422,392.625,174
"14",-104.625,33.625,259.960507505478,0.0139264212772442,0.20583313703537,5.13224107590346,67.4634766578674,86.25,0.546961434885362,39.476608991623,15.2032729387283,323.625,161
"15",-105.125,35.875,494.962648677583,0.0373586641232284,0.821061909198761,6.45447775050827,65.7326505184175,84.8125,0.158484836751989,38.080891609192,9.00133872032169,451.187499999999,169
"16",-105.375,35.875,705.457442346445,0.0378609991807649,4.84082365036011,4.84337111159172,59.580814599991,85.1875,0.944197100253859,35.1259849071503,6.78797903656965,518.124999999998,172
"17",-106.375,35.375,319.979633692956,0.0383641618084132,8.68316268920898,9.26553184276996,48.9345843791961,85.75,0.733592238402207,39.2317042350769,11.7330022454261,327.812500000003,178
"18",-106.625,33.875,246.458084873254,0.0143252088572626,0.0244090724736452,3.41391077337836,69.3462738990783,86.9375,0.325321284686862,40.4525611400604,13.5697805285454,262.25,180
"19",-106.625,35.625,457.670469305333,0.0493774529416251,3.54445195198059,4.58774912598398,43.9498138427734,85.25,1.06561372430656,39.0309057235718,10.3953461050987,414.187500000002,174
"20",-107.875,34.875,502.900739649291,0.0323050090020579,0.0309382546693087,4.55951973443658,65.3717212677002,87.9375,0.598089976414949,38.6149854660034,9.23202186822889,313.875000000001,165
"21",-107.875,35.125,353.036834238316,0.0371043083657214,22.768310546875,6.6457894320404,64.5462560653687,87.3125,0.784196056386863,39.3288910388946,9.4583262205124,290.3125,164
"22",-108.875,33.875,737.541774315592,0.0358446752114771,0.299400299787521,1.64320962039867,68.8712530136108,90.75,1.24490773013051,37.93665599823,7.93666270375254,435.9375,170
"23",-109.875,54.375,557.859160354599,0.0504579925632243,1.36295425891876,1.12891106854593,64.579628944397,59.8125,1.79990377836096,44.3753118515015,1.22920379787684,426.8125,144
"24",-113.125,51.375,492.08416260093,0.0186943265603565,2.22961616516113,8.2076782531855,65.9714207649231,61.75,0.0812206164247524,42.7532823085785,3.50660680234433,388.1875,151
"25",-113.375,49.625,580.103100453586,0.0219373118617589,7.92419099807739,7.51400043762078,56.3637409210205,64.0625,0.730615777959247,38.4137182235718,5.44212484359742,452.3125,155
"26",-114.125,52.375,540.661976342443,0.0353701798506323,33.2864799499512,12.6909462082625,71.6071152687073,61.75,0.733420752535046,39.8429074287415,2.55190435051918,494.374999999999,150
"27",-114.375,51.875,570.228133035141,0.019005731071864,2.6873996257782,6.46714087831773,68.9908270835877,62.25,0.95136330742626,39.2880623340607,2.78773576021195,488.187499999999,156
"28",-114.875,50.875,458.550837113171,0.0585985427621559,0.00728105986490846,2.24217242479835,41.7230145931245,64,1.25829544490466,35.3848764896393,0.203011071658711,640,156
"29",-114.875,51.625,548.649471769049,0.0149561983215212,0.421381652355194,3.69176506485408,67.0368695259095,63.25,1.17567067181581,38.0083286762238,2.05738546699286,542.625,156
"30",-115.125,51.375,463.105370390063,0.054081885383326,0.0341911539435387,2.41877394372734,52.1977140903477,63.75,1.12274730081688,35.7215304374695,1.00849609356381,569.812499999997,153
"31",-115.125,51.625,509.418991660772,0.0290484848917851,0.00537792174145579,1.99846173035818,61.0306243896487,63.25,0.918517357656694,37.1012034416199,1.62132423371078,553.625,156
"32",-115.625,52.125,478.41818580515,0.0320444673068129,0,0.942694946118477,57.718853712082,63,0.686734493929375,38.1355154514313,0.964977882802492,609.9375,148
"33",-116.125,53.375,550.289645370383,0.0205291804793477,0.140687599778175,0.227701258552923,71.7671618461609,62.9375,1.04394513927878,40.7075634002686,2.00108996033668,570.4375,138
"34",-117.125,43.375,348.45916120583,0.0323119570187472,0.0980585888028145,3.57883622167789,30.3128467798234,70.25,0.0919737476652951,38.5971415042877,8.52275714278218,318.375000000001,141
"35",-117.125,50.875,438.916175780047,0.085012842221079,0.0353375487029552,0.640848275576061,31.2867290973662,64,1.58491407050276,32.0817031860352,-0.535610746126621,1367.625,139
"36",-117.125,52.875,377.278211586228,0.0686377302907333,0.0610457882285118,0.106884592444569,46.6205968856811,63.25,1.12325427521732,34.66912317276,-0.685007851687271,649.937500000001,137
"37",-117.375,52.875,335.376816636218,0.0679141244189148,0.0448726937174797,0.648367881108096,37.8607679605483,63.1875,1.30151390032608,34.3533749580383,-1.50450590625407,705.250000000001,135
"38",-117.625,52.875,325.792130626271,0.0519932532197831,0.00636288244277239,0.137366262519201,34.7256442308425,63.0625,1.24982024156585,34.5922646522522,-1.09889713302258,704.562500000002,134
"39",-118.625,36.625,659.558732712466,0.087618811327003,0.0672629848122597,1.71438076234835,73.9051847457882,78.25,1.60604532433873,31.1712651252747,3.74586646258809,714.062500000001,152
"40",-118.625,53.125,334.069580975373,0.0506217016270383,0.00269568897783756,0.151545292503931,22.9155963659287,62.8125,1.30274392212662,31.4992182254791,-1.57985413074493,851.499999999999,130
"41",-119.125,38.625,336.881394142043,0.0447998709228777,0.000479440466733649,2.65828315677104,35.9017568826674,75.25,1.03437817719056,38.0625939369201,7.61584389209744,256.9375,169
"42",-119.125,46.625,732.653886490485,0.0871957816548548,4.99072980880737,7.53103859693137,42.8277909755706,68.25,0.640068042041485,34.6099212169647,10.7926508784294,197.9375,143
"43",-119.125,46.875,669.487336702126,0.0717549606576745,28.2207527160645,9.29842979101812,44.7997696399687,67.75,0.789755125070499,35.2079544067382,10.3176842331886,200.000000000001,142
"44",-119.375,50.375,638.451359658998,0.044948023834019,61.4718742370605,11.4588920369648,21.970918059349,65,1.63892712248703,34.2365634441376,6.29029366374022,554.874999999996,161
"45",-120.125,38.625,788.798410866602,0.0677124949988567,0.307616770267487,3.7829657804849,75.5152735710142,75.0625,1.27478705544228,31.8307027816773,5.53255528211584,1026.93749999999,163
"46",-120.375,38.625,1177.26353589319,0.049033273081466,0.243312537670135,3.97190331735068,80.7490887641906,74.9375,1.05438817535157,30.7493433952332,9.06658273935312,1294.5,159
"47",-120.375,52.375,492.766308166642,0.0701727537722907,0.0196538176387548,0.484615801903719,18.7005736827851,62.8125,1.33984893530638,31.4065929651261,1.73348045349124,1040.5,138
"48",-120.375,55.875,521.609945105685,0.0251202120008382,7.82907819747925,4.34596349636926,51.9940643310547,58,1.33678715606814,40.1860163211823,1.84284044057131,479,119
"49",-120.625,49.125,528.605462703668,0.0415416687382794,0.0829098895192146,1.36887141267685,35.6537125110626,63.25,0.956323586603032,32.2608917951584,3.08838741481307,750.249999999995,162
"50",-120.875,46.625,521.38713536815,0.0563493599999584,5.93779468536377,7.11236387515214,72.0010704994201,66,1.04846741258136,33.622673034668,7.42947781085973,567.999999999994,150
"51",-121.125,54.875,486.002179377632,0.038664938890794,0.000368904380593449,0.94362439695278,29.7286022901536,60.75,0.928363506545249,31.7956870794296,1.79844918102027,744.562499999999,128
"52",-121.125,55.125,506.889445466399,0.0277581006611037,3.32829475402832,2.19363766448493,35.7757629156115,60.25,0.804824477793293,32.6706240177155,2.40699736773971,644.249999999996,127
"53",-121.125,55.375,513.375455919079,0.0244793333714374,0.0540683753788471,1.57972894764447,39.2465052604677,59.5,1.06283982371817,33.659969329834,2.40834110975266,595.124999999999,121
"54",-121.125,57.875,548.400783360834,0.0149700943549001,0,0.551099409116955,57.6317167282104,56.75,0.92361411073361,45.9266717433929,-0.0716022493434147,432.125,105
"55",-121.375,55.625,530.478770588214,0.0233613754572473,0.288062065839767,2.69634496966727,42.9113862514496,58.4375,1.44238217811868,35.5151398181915,2.61893357336522,532.9375,121
"56",-121.375,58.625,513.54679182542,0.0200014824817101,0.00222400994971395,0.703384442519405,60.8065278530121,56,0.819129702761079,48.3121719360352,-0.600917939096688,432.8125,105
"57",-124.625,58.875,347.994474269716,0.036159348327237,0.00232768640853465,0.350546536250242,63.5510845184327,54.25,0.897189625789291,40.3380470275879,-1.39505211636423,580.687500000001,97
"58",-126.625,55.125,413.033298473861,0.0417091942443991,0.0253544896841049,0.0405317064563192,26.9506379365921,56.4375,0.709587229488038,35.8909673690797,1.75683601386847,558.249999999997,106
"59",-127.125,55.625,402.512668140913,0.0562965761221619,0,0,26.3947778940201,56,0.653910202411472,33.6958606243134,1.340783149004,695.374999999999,104
"60",-128.375,60.375,336.610684268938,0.0269052331008993,0.000131798573420383,0.239259360307852,39.1491510868074,54,0.550902588136969,46.5050473213199,-3.58399677276604,492.562499999996,87
"61",-129.125,57.875,320.538258526404,0.0392092240131078,0.0015556876314804,0,35.1741411685942,54,1.05594592695125,36.6114699840545,-1.34031706303361,558.062500000003,93
"62",-129.375,57.625,290.896757384575,0.0504484120179848,0.00157870445400476,0.786241552175249,33.2758703231808,54,1.40874158525805,34.9404222965239,-1.05983074940752,610.937500000009,93
"63",-129.625,57.375,289.821427899831,0.0557921334400243,0.00157870433758944,0.0036313713497428,29.7922942638398,54,1.50429827112778,32.1103284358979,-2.27887049317357,821.124999999997,91
"64",-129.875,57.375,301.113085722812,0.06408496346784,0.00157870445400476,0.0642196255164436,29.0654038190842,53.8125,1.43283211921996,31.1991723775864,-2.23995450139049,874.375000000001,90
"65",-133.375,58.375,332.513652913061,0.111064910074684,0.00338306510820985,0.422830367232701,33.9372551441192,51,1.31918428639036,25.33318734169,-0.980141287669614,1521.4375,105
"66",-134.625,59.125,355.990357303168,0.0780147783779157,0.000883606844581664,0.327554818051529,36.8163411617278,49.8125,0.4853665639834,27.2756552696228,-2.9982284754515,1069.4375,106
"67",-145.125,65.125,311.864853798178,0.0246847082117219,0.00149752642028034,0.329770590833172,79.2170448303226,52,1.01009713613622,48.7430777549742,-5.89802658557892,249.625,78
"68",-145.375,63.125,287.426346680709,0.0743885998756918,0.000116547256766353,0.985934025792711,82.7310032844543,50,1.30520611602809,40.5503745079041,-5.18723180890083,298.125,81
"69",-145.625,61.125,253.240709334182,0.103313571311041,0.0113670481368899,1.68276860980972,28.5567659139633,46.5625,1.74983040799614,32.7460174560547,-2.92758400738241,816.4375,70
"70",-145.875,63.125,286.890672817867,0.0430414209041542,0,1.02751656257484,81.9720106124878,49.9375,0.872920889448604,40.072250366211,-4.35689330101012,294.499999999999,81
"71",-146.375,64.875,346.271499895428,0.0407712162087011,0.00206834194250405,2.2688419412674,68.0502395629887,52,1.02703048946405,47.5589363574982,-3.63741599023346,304.187499999999,77
"72",-146.625,65.125,342.376096110106,0.0436076647202202,0.0181287527084351,1.43509332683121,65.2733876705171,52,1.1203141177329,46.0709698200225,-4.31953500211239,312.1875,79
"73",-146.875,63.125,281.235585931045,0.0479865169217526,0,0.772999013732386,73.964638233185,49.75,0.805357243967245,37.7972967624665,-4.55377674102783,335.624999999999,75
"74",-147.875,63.375,268.529112359211,0.0457271272222639,0,0.570901034201331,63.3236954212191,49.75,0.981750894440609,39.0699379444123,-4.29824870824814,373.249999999999,74
"75",-148.375,61.125,248.281311124957,0.125514795270534,0.00653281947597861,0.419744812742674,33.259658575058,45.5625,1.14770843042571,23.5011330842971,-1.74984078668058,717,74
"76",-148.625,60.125,258.130282349462,0.146854704875449,0.0212060380727053,0.464040062198377,36.0239415168762,42.75,0.907919668757459,18.207208275795,0.0146569926291804,1148.875,72
"77",-148.625,65.375,369.674326290777,0.0361654554244097,0.00718886125832796,0.986133907556095,62.5175678730011,NA,1.15148363815265,49.7086095809936,-3.76635479927062,284.5625,75
"78",-148.875,61.125,244.032708187426,0.124486195877973,0.37026458978653,2.12935784996063,33.7578275203704,45.75,1.05686789221488,24.0081716775893,-2.32685863971715,745.875000000002,72
"79",-149.375,70.375,92.9800095298769,NA,0.297754883766174,8.57191150294581,68.6232833862304,48,0.770101131384014,43.7778122425079,-11.3245714306831,155.875,26
"80",-149.875,67.125,319.635786682537,NA,0.00106992945075035,0.224857570476975,59.903473854065,48,0.869221461705056,46.4752829074861,-5.79526090621943,315.937499999999,59
"81",-150.375,59.625,259.409246280998,0.123365121482501,0,1.54858076696576,37.7155599594115,43.0625,1.72401131030764,20.8652422428131,1.45193242654202,1125.25,74
"82",-150.875,60.625,301.053789310771,0.032728271485628,10.2036142349243,4.30101133110031,42.6672186851501,45.75,1.19779738265906,31.4829812049866,1.98700432479381,760.562499999999,69
"83",-155.125,58.625,219.655346954804,0.0836652151275746,0.000687623745761812,0,30.0996181964873,46,1.59892043841201,26.0422033071518,1.68154688086361,871.750000000002,57
"84",-159.375,62.875,229.67101136483,0.033355344953228,0,3.35547468149228e-07,58.0180811882019,47,1.3036574619046,42.3054211139679,-2.1868507862091,423.375,58
"85",-16.625,28.125,355.556778407972,0.058703856008467,249.823440551758,20.5721838022374,80.1548681259155,94.3125,1.54633348582133,17.2680689096451,17.0313782691956,323.312499999999,50
"86",-2.125,38.875,528.413933995735,0.0264788142051516,29.9721126556396,9.21214601102391,39.7945029735564,73.5625,1.04157345830253,34.628202676773,13.8656818270683,419.875,88
"87",-2.125,39.125,513.450444827107,0.0223111532636028,46.608642578125,12.6613555120634,40.090636730194,73.1875,0.374599054699334,33.755110502243,14.4147884249687,409.124999999999,87
"88",-2.125,40.875,694.343499699189,0.0261149036446425,1.06174635887146,4.75305219408006,34.2105503082274,69.9375,1.21824933789317,31.25210916996,10.3952113389969,558.812500000001,84
"89",-2.375,37.125,407.900513866027,0.0334167512098007,7.44096755981445,6.3569301429933,47.5562181472777,77.25,1.00051690455368,31.389796257019,14.8412609100342,358.187499999997,100
"90",-2.375,52.125,502.762287805492,0.0356813759811761,150.099761962891,21.9799557639987,16.2936886548994,47,1.5266495472201,19.8187817335129,9.3146606087685,841.812499999991,51
"91",-2.375,52.375,498.621289616352,0.0451640196330583,173.740737915039,22.5057370132844,17.4336594939231,47.1875,1.53433958742957,19.3520934581757,9.01732665300372,920.937499999998,51
"92",-2.625,52.125,490.792049392832,0.0315952932098767,184.395889282227,20.9247037803214,17.2606946229934,47,1.38652606863697,20.2558275461197,9.25849688053131,746.187500000001,41
"93",-2.625,52.375,501.529850570121,0.0327848508230452,56.1011657714844,17.6876265751158,18.348848938942,47.0625,1.45993943838126,19.686718583107,8.73961585760116,923.937500000003,42
"94",-3.375,39.375,333.86996702568,0.0256449331275723,33.7884483337402,11.8461793383739,43.0577635765076,72.75,0.951436210889646,33.8169701099396,14.7737085223198,398.375,93
"95",-3.375,39.875,355.33090511777,0.014725270538028,18.4865760803223,12.7565811618456,41.6969678401947,71.75,0.708618702321355,33.1171569824219,14.1613554358482,422.437500000001,99
"96",-3.875,39.625,443.164264808758,0.0352685018480426,25.3495178222656,12.4089825832986,40.1356198787689,72.25,1.31587589003055,32.3873586654664,14.2503865361214,421.687499999999,98
"97",-3.875,40.875,760.475673806333,0.0360691074626574,36.8682594299316,12.7144737988448,39.8299164772029,68.9375,1.11072251428979,26.9441399574281,8.74430775642413,779.249999999976,93
"98",-36.625,-5.375,806.147778006586,0.0497996905956969,23.0737285614014,10.8343447020158,111.139252662659,153.9375,0.454058494863346,11.8296571969986,26.791375875473,630.749999999997,231
"99",-38.125,-11.125,823.924945938496,0.0361894921220086,47.0082969665527,11.3140202522196,42.2224187850953,162.4375,0.256476690048841,14.0067653656006,23.6925188302994,827.687499999999,286
"100",-38.125,-12.625,1010.32347017979,0.0706592419972042,49.3116760253906,20.4503379246756,49.8222422599793,173.25,1.4173868463693,10.2110340595245,24.8068443536758,1741.8125,307
"101",-38.875,-12.125,946.98350640204,0.0442250133363812,372.096099853516,18.5649308096729,26.2748844623569,164.375,0.632016237385122,13.0192815065384,23.4414117336273,977.687500000009,318
"102",-39.625,-18.125,1057.33006247597,0.0470907813751249,18.5008144378662,6.85796514121521,29.6695644855499,170.5,1.54487418312402,13.6699942350387,24.1811037063599,1493.0625,382
"103",-39.875,-5.375,887.399183535719,0.0363599060737689,10.0508432388306,7.56732912542217,98.6992578506464,152.25,1.12184404055937,11.8596558570862,24.3297731876373,759.000000000011,242
"104",-4.125,37.375,693.489703426828,0.0230572642794545,49.6032905578613,13.7574793591541,56.6606769561767,77.1875,1.26273267092149,32.0392807722092,15.188556432724,526.374999999998,94
"105",-4.125,40.375,614.17336575601,0.0324518461362597,88.5420837402344,21.0111212219837,35.2522802352906,70.6875,1.22337050035143,30.3088124990464,14.1784634590149,361.0625,96
"106",-4.375,40.375,735.481811616363,0.0344627402930196,45.711311340332,12.9736134116676,34.6060795783997,70.75,1.38842119950694,29.0487654209138,13.469851911068,351.125,94
"107",-4.625,40.375,778.640702689828,0.0389153354099985,31.8985080718994,8.79318554665912,34.511257648468,70.75,1.37942195524216,27.6308751106262,11.6820168495179,448.187499999996,91
"108",-4.625,41.375,596.972995755425,0.0180610032293097,34.5094299316406,16.4773095275363,33.0995810031891,67.75,1.26433264381277,30.1213274002075,12.0030376911163,403.9375,86
"109",-4.625,41.625,568.710230037766,0.0185735906302394,304.622985839844,22.4716810574233,32.8618113994599,67.25,1.12980540343691,30.1314531564713,12.0962982773781,417.312499999999,80
"110",-4.875,37.375,582.509421168747,0.0156714689548083,79.52880859375,18.041501329053,65.6835565567015,76.75,0.418277094025201,30.5314534902573,17.0192464590072,567.562500000002,100
"111",-4.875,41.375,544.693318798748,0.0228676495103647,49.2217483520508,15.8812865307643,32.4862384796143,67.75,0.987026345751004,29.8241872787476,12.1471472382545,416.312499999998,88
"112",-40.875,-14.125,760.336577891459,0.0272464241826704,9.23417091369629,9.13118626334349,83.9743099212647,161.4375,0.0732182602774758,14.1066408753395,23.1638091802597,600.812499999999,335
"113",-40.875,-15.625,968.213925992145,0.0422475375323883,21.1452560424805,8.31442869008379,66.4475433826433,160.75,1.11212283637136,14.9597654342651,20.517635345459,833.937500000008,336
"114",-41.125,-15.625,993.945963668468,0.0342406300011429,26.5989189147949,7.8193880567107,78.0036449432368,160.25,1.12015884808762,15.3267187476158,20.7663794755935,807.687499999998,311
"115",-41.875,-18.125,956.6471548569,0.0265866186080629,5.02936792373657,9.71972129414156,77.3764119148253,157.75,0.476511029293632,17.9948595762252,22.7671328783035,1095.6875,367
"116",-42.125,-13.375,933.249113834226,0.0301325779225726,24.732723236084,8.53314805218648,87.3731455802915,165.125,0.834644800789701,16.8878592252731,21.4337557554244,896.625000000002,307
